COLOUR_BOOK,COLOUR_CODE,HUE,VALUE,CHROMA,R,G,B,HEX
M,2.5Y67,2.5Y,6,7,179,142,60,#B38E3C
M,2.5Y68,2.5Y,6,8,182,142,45,#B68E2D
M,2.5Y70,2.5Y,7,0,173,173,173,#ADADAD
M,2.5Y71,2.5Y,7,1,179,173,160,#B3ADA0
M,2.5Y72,2.5Y,7,2,185,172,147,#B9AC93
M,2.5Y73,2.5Y,7,3,190,172,135,#BEAC87
M,2.5Y74,2.5Y,7,4,195,171,124,#C3AB7C
M,2.5Y75,2.5Y,7,5,199,170,111,#C7AA6F
M,2.5Y76,2.5Y,7,6,203,169,99,#CBA963
M,2.5Y77,2.5Y,7,7,206,169,86,#CEA956
M,2.5Y78,2.5Y,7,8,209,168,72,#D1A848
M,2.5Y80,2.5Y,8,0,200,200,200,#C8C8C8
M,2.5Y81,2.5Y,8,1,206,199,186,#CEC7BA
M,2.5Y82,2.5Y,8,2,211,199,172,#D3C7AC
M,2.5Y83,2.5Y,8,3,216,198,160,#D8C6A0
M,2.5Y84,2.5Y,8,4,221,198,148,#DDC694
M,2.5Y86,2.5Y,8,6,229,196,123,#E5C47B
M,2.5YR2.5/1,2.5YR,2.5,1,69,57,54,#453936
M,2.5YR2.5/2,2.5YR,2.5,2,76,55,49,#4C3731
M,2.5YR2.5/3,2.5YR,2.5,3,83,52,43,#53342B
M,2.5YR2.5/4,2.5YR,2.5,4,88,50,37,#583225
M,2.5YR20,2.5YR,2,0,49,49,49,#313131
M,2.5YR21,2.5YR,2,1,57,46,44,#392E2C
M,2.5YR22,2.5YR,2,2,64,44,39,#402C27
M,2.5YR23,2.5YR,2,3,71,41,34,#472922
M,2.5YR24,2.5YR,2,4,76,38,29,#4C261D
M,2.5YR25,2.5YR,2,5,81,35,23,#512317
M,2.5YR26,2.5YR,2,6,86,32,17,#562011
M,2.5YR30,2.5YR,3,0,72,72,72,#484848
M,2.5YR31,2.5YR,3,1,81,69,65,#514541
M,2.5YR32,2.5YR,3,2,89,66,59,#59423B
M,2.5YR33,2.5YR,3,3,96,64,52,#604034
M,2.5YR34,2.5YR,3,4,102,61,46,#663D2E
M,2.5YR35,2.5YR,3,5,108,58,39,#6C3A27
M,2.5YR36,2.5YR,3,6,113,56,32,#713820
M,2.5YR37,2.5YR,3,7,117,53,24,#753518
M,2.5YR38,2.5YR,3,8,121,50,15,#79320F
M,2.5YR40,2.5YR,4,0,96,96,96,#606060
M,2.5YR41,2.5YR,4,1,106,93,89,#6A5D59
M,2.5YR42,2.5YR,4,2,114,91,82,#725B52
M,2.5YR43,2.5YR,4,3,122,88,75,#7A584B
M,2.5YR44,2.5YR,4,4,129,86,68,#815644
M,2.5YR45,2.5YR,4,5,135,83,62,#87533E
M,2.5YR46,2.5YR,4,6,140,81,54,#8C5136
M,2.5YR47,2.5YR,4,7,145,78,47,#914E2F
M,2.5YR48,2.5YR,4,8,150,75,38,#964B26
M,2.5YR50,2.5YR,5,0,121,121,121,#797979
M,2.5YR51,2.5YR,5,1,131,119,115,#837773
M,2.5YR52,2.5YR,5,2,139,117,108,#8B756C
M,2.5YR53,2.5YR,5,3,147,114,101,#937265
M,2.5YR54,2.5YR,5,4,154,112,94,#9A705E
M,2.5YR55,2.5YR,5,5,161,109,86,#A16D56
M,2.5YR56,2.5YR,5,6,167,107,78,#A76B4E
M,2.5YR57,2.5YR,5,7,174,104,70,#AE6846
M,2.5YR58,2.5YR,5,8,179,101,61,#B3653D
M,2.5YR60,2.5YR,6,0,147,147,147,#939393
M,2.5YR61,2.5YR,6,1,157,145,140,#9D918C
M,2.5YR62,2.5YR,6,2,166,143,133,#A68F85
M,2.5YR63,2.5YR,6,3,173,140,126,#AD8C7E
M,2.5YR64,2.5YR,6,4,181,138,118,#B58A76
M,2.5YR65,2.5YR,6,5,188,135,111,#BC876F
M,2.5YR66,2.5YR,6,6,195,133,103,#C38567
M,2.5YR68,2.5YR,6,8,207,128,87,#CF8057
M,2.5YR71,2.5YR,7,1,183,171,166,#B7ABA6
M,2.5YR72,2.5YR,7,2,191,169,159,#BFA99F
M,2.5YR73,2.5YR,7,3,200,167,152,#C8A798
M,2.5YR74,2.5YR,7,4,208,164,144,#D0A490
M,2.5YR75,2.5YR,7,5,215,162,136,#D7A288
M,2.5YR76,2.5YR,7,6,223,159,127,#DF9F7F
M,2.5YR81,2.5YR,8,1,208,198,194,#D0C6C2
M,2.5YR82,2.5YR,8,2,216,196,187,#D8C4BB
M,2.5YR84,2.5YR,8,4,236,190,168,#ECBEA8
M,5B41,5B,4,1,88,98,101,#586265
M,5B51,5B,5,1,113,123,126,#717B7E
M,5B61,5B,6,1,139,149,152,#8B9598
M,5B71,5B,7,1,165,175,178,#A5AFB2
M,5B81,5B,8,1,192,202,204,#C0CACC
M,5BG31,5BG,3,1,63,74,73,#3F4A49
M,5BG41,5BG,4,1,87,98,97,#576261
M,5BG51,5BG,5,1,111,124,123,#6F7C7B
M,5BG61,5BG,6,1,137,150,148,#899694
M,5BG71,5BG,7,1,162,177,174,#A2B1AE
M,5G2.5/1,5G,2.5,1,54,62,58,#363E3A
M,5G31,5G,3,1,65,74,69,#414A45
M,5G41,5G,4,1,88,98,93,#58625D
M,5G42,5G,4,2,80,101,90,#50655A
M,5G51,5G,5,1,113,124,118,#717C76
M,5G52,5G,5,2,104,127,115,#687F73
M,5G61,5G,6,1,138,150,143,#8A968F
M,5G62,5G,6,2,128,153,140,#80998C
M,5G71,5G,7,1,163,177,169,#A3B1A9
M,5G72,5G,7,2,153,180,165,#99B4A5
M,5G81,5G,8,1,189,203,195,#BDCBC3
M,5GY2.5/1,5GY,2.5,1,58,61,53,#3A3D35
M,5GY31,5GY,3,1,70,73,64,#464940
M,5GY41,5GY,4,1,94,97,87,#5E6157
M,5GY51,5GY,5,1,119,123,111,#777B6F
M,5GY61,5GY,6,1,145,149,136,#919588
M,5GY71,5GY,7,1,172,175,161,#ACAFA1
M,5GY81,5GY,8,1,198,202,186,#C6CABA
M,5PB51,5PB,5,1,119,122,128,#777A80
M,5PB61,5PB,6,1,144,148,153,#909499
M,5PB71,5PB,7,1,170,174,179,#AAAEB3
M,5PB81,5PB,8,1,197,200,205,#C5C8CD
M,5R32,5R,3,2,90,65,65,#5A4141
M,5R33,5R,3,3,98,62,62,#623E3E
M,5R34,5R,3,4,105,58,59,#693A3B
M,5R36,5R,3,6,116,51,53,#743335
M,5R46,5R,4,6,143,77,76,#8F4D4C
M,5R48,5R,4,8,155,69,69,#9B4545
M,5R52,5R,5,2,138,116,115,#8A7473
M,5Y2.5/1,5Y,2.5,1,63,60,51,#3F3C33
M,5Y2.5/2,5Y,2.5,2,67,59,42,#433B2A
M,5Y20,5Y,2,0,49,49,49,#313131
M,5Y21,5Y,2,1,52,49,40,#343128
M,5Y22,5Y,2,2,55,48,31,#37301F
M,5Y25,5Y,2,5,63,47,0,#3F2F00
M,5Y30,5Y,3,0,72,72,72,#484848
M,5Y31,5Y,3,1,75,71,62,#4B473E
M,5Y32,5Y,3,2,79,71,51,#4F4733
M,5Y33,5Y,3,3,82,71,41,#524729
M,5Y34,5Y,3,4,84,70,30,#54461E
M,5Y36,5Y,3,6,89,69,0,#594500
M,5Y40,5Y,4,0,96,96,96,#606060
M,5Y41,5Y,4,1,100,96,84,#646054
M,5Y42,5Y,4,2,104,96,73,#686049
M,5Y43,5Y,4,3,108,95,61,#6C5F3D
M,5Y44,5Y,4,4,111,95,48,#6F5F30
M,5Y46,5Y,4,6,115,94,21,#735E15
M,5Y50,5Y,5,0,121,121,121,#797979
M,5Y51,5Y,5,1,126,121,109,#7E796D
M,5Y52,5Y,5,2,129,121,97,#817961
M,5Y53,5Y,5,3,133,121,85,#857955
M,5Y54,5Y,5,4,136,121,72,#887948
M,5Y56,5Y,5,6,142,120,44,#8E782C
M,5Y58,5Y,5,8,146,119,2,#927702
M,5Y60,5Y,6,0,147,147,147,#939393
M,5Y61,5Y,6,1,152,147,134,#989386
M,5Y62,5Y,6,2,155,147,121,#9B9379
M,5Y63,5Y,6,3,159,147,109,#9F936D
M,5Y64,5Y,6,4,162,147,97,#A29361
M,5Y65,5Y,6,5,165,146,83,#A59253
M,5Y66,5Y,6,6,168,146,69,#A89245
M,5Y70,5Y,7,0,173,173,173,#ADADAD
M,5Y71,5Y,7,1,178,173,160,#B2ADA0
M,5Y72,5Y,7,2,182,173,146,#B6AD92
M,5Y73,5Y,7,3,185,173,133,#B9AD85
M,5Y74,5Y,7,4,188,173,120,#BCAD78
M,5Y76,5Y,7,6,194,173,94,#C2AD5E
M,5Y78,5Y,7,8,199,172,65,#C7AC41
M,5Y81,5Y,8,1,204,200,185,#CCC8B9
M,5Y82,5Y,8,2,208,200,171,#D0C8AB
M,5Y83,5Y,8,3,211,200,158,#D3C89E
M,5YR2.5/1,5YR,2.5,1,68,58,53,#443A35
M,5YR2.5/2,5YR,2.5,2,75,56,47,#4B382F
M,5YR21,5YR,2,1,57,47,43,#392F2B
M,5YR22,5YR,2,2,63,45,37,#3F2D25
M,5YR23,5YR,2,3,69,42,30,#452A1E
M,5YR24,5YR,2,4,74,40,23,#4A2817
M,5YR26,5YR,2,6,82,35,3,#522303
M,5YR27,5YR,2,7,87,32,0,#572000
M,5YR31,5YR,3,1,81,69,64,#514540
M,5YR32,5YR,3,2,88,67,56,#584338
M,5YR33,5YR,3,3,94,65,49,#5E4131
M,5YR34,5YR,3,4,99,63,42,#633F2A
M,5YR35,5YR,3,5,104,61,34,#683D22
M,5YR36,5YR,3,6,109,59,25,#6D3B19
M,5YR38,5YR,3,8,116,55,0,#743700
M,5YR41,5YR,4,1,106,94,88,#6A5E58
M,5YR42,5YR,4,2,114,92,80,#725C50
M,5YR43,5YR,4,3,121,89,71,#795947
M,5YR44,5YR,4,4,127,87,63,#7F573F
M,5YR45,5YR,4,5,132,85,55,#845537
M,5YR46,5YR,4,6,136,83,47,#88532F
M,5YR47,5YR,4,7,141,81,38,#8D5126
M,5YR48,5YR,4,8,144,79,27,#904F1B
M,5YR51,5YR,5,1,131,119,113,#837771
M,5YR52,5YR,5,2,138,117,105,#8A7569
M,5YR53,5YR,5,3,146,115,97,#927361
M,5YR54,5YR,5,4,152,113,88,#987158
M,5YR55,5YR,5,5,158,111,79,#9E6F4F
M,5YR56,5YR,5,6,164,109,70,#A46D46
M,5YR57,5YR,5,7,170,107,60,#AA6B3C
M,5YR58,5YR,5,8,174,105,49,#AE6931
M,5YR61,5YR,6,1,157,145,139,#9D918B
M,5YR62,5YR,6,2,165,143,130,#A58F82
M,5YR63,5YR,6,3,172,141,122,#AC8D7A
M,5YR64,5YR,6,4,179,139,113,#B38B71
M,5YR65,5YR,6,5,185,137,104,#B98968
M,5YR66,5YR,6,6,192,135,94,#C0875E
M,5YR67,5YR,6,7,197,133,85,#C58555
M,5YR68,5YR,6,8,202,131,75,#CA834B
M,5YR71,5YR,7,1,183,171,165,#B7ABA5
M,5YR72,5YR,7,2,191,169,156,#BFA99C
M,5YR73,5YR,7,3,199,167,147,#C7A793
M,5YR74,5YR,7,4,206,165,138,#CEA58A
M,5YR76,5YR,7,6,219,161,119,#DBA177
M,5YR78,5YR,7,8,230,157,100,#E69D64
M,5YR81,5YR,8,1,208,198,191,#D0C6BF
M,5YR82,5YR,8,2,217,196,182,#D9C4B6
M,5YR83,5YR,8,3,225,194,173,#E1C2AD
M,5YR85,5YR,8,5,240,190,153,#F0BE99
M,5YR88,5YR,8,8,255,183,122,#FFB77A
M,7.5R21,7.5R,2,1,58,46,46,#3A2E2E
M,7.5R30,7.5R,3,0,72,72,72,#484848
M,7.5R33,7.5R,3,3,98,62,59,#623E3B
M,7.5R34,7.5R,3,4,105,59,55,#693B37
M,7.5R36,7.5R,3,6,116,52,47,#74342F
M,7.5R38,7.5R,3,8,127,42,39,#7F2A27
M,7.5R40,7.5R,4,0,96,96,96,#606060
M,7.5R41,7.5R,4,1,106,93,92,#6A5D5C
M,7.5R42,7.5R,4,2,115,90,88,#735A58
M,7.5R43,7.5R,4,3,123,87,83,#7B5753
M,7.5R44,7.5R,4,4,130,84,79,#82544F
M,7.5R46,7.5R,4,6,143,77,70,#8F4D46
M,7.5R50,7.5R,5,0,121,121,121,#797979
M,7.5R51,7.5R,5,1,130,119,118,#827776
M,7.5R54,7.5R,5,4,156,110,104,#9C6E68
M,7.5R56,7.5R,5,6,170,104,94,#AA685E
M,7.5R61,7.5R,6,1,156,145,143,#9C918F
M,7.5Y71,7.5Y,7,1,176,174,159,#B0AE9F
M,7.5Y81,7.5Y,8,1,203,200,185,#CBC8B9
M,7.5YR2.5/1,7.5YR,2.5,1,67,58,52,#433A34
M,7.5YR2.5/2,7.5YR,2.5,2,73,57,45,#49392D
M,7.5YR2.5/3,7.5YR,2.5,3,78,55,37,#4E3725
M,7.5YR20,7.5YR,2,0,49,49,49,#313131
M,7.5YR21,7.5YR,2,1,56,47,42,#382F2A
M,7.5YR22,7.5YR,2,2,62,45,35,#3E2D23
M,7.5YR23,7.5YR,2,3,67,44,27,#432C1B
M,7.5YR24,7.5YR,2,4,71,42,18,#472A12
M,7.5YR25,7.5YR,2,5,75,40,5,#4B2805
M,7.5YR28,7.5YR,2,8,84,36,0,#542400
M,7.5YR30,7.5YR,3,0,72,72,72,#484848
M,7.5YR31,7.5YR,3,1,80,70,63,#50463F
M,7.5YR32,7.5YR,3,2,87,68,55,#574437
M,7.5YR33,7.5YR,3,3,92,66,46,#5C422E
M,7.5YR34,7.5YR,3,4,96,65,38,#604126
M,7.5YR35,7.5YR,3,5,101,63,29,#653F1D
M,7.5YR36,7.5YR,3,6,104,62,17,#683E11
M,7.5YR37,7.5YR,3,7,107,60,2,#6B3C02
M,7.5YR38,7.5YR,3,8,110,59,0,#6E3B00
M,7.5YR40,7.5YR,4,0,96,96,96,#606060
M,7.5YR41,7.5YR,4,1,105,94,87,#695E57
M,7.5YR42,7.5YR,4,2,112,92,77,#705C4D
M,7.5YR43,7.5YR,4,3,119,90,68,#775A44
M,7.5YR44,7.5YR,4,4,124,89,58,#7C593A
M,7.5YR45,7.5YR,4,5,129,87,49,#815731
M,7.5YR46,7.5YR,4,6,132,86,40,#845628
M,7.5YR47,7.5YR,4,7,136,84,29,#88541D
M,7.5YR48,7.5YR,4,8,139,83,15,#8B530F
M,7.5YR50,7.5YR,5,0,121,121,121,#797979
M,7.5YR51,7.5YR,5,1,130,120,112,#827870
M,7.5YR52,7.5YR,5,2,137,118,103,#897667
M,7.5YR53,7.5YR,5,3,144,116,94,#90745E
M,7.5YR54,7.5YR,5,4,150,115,84,#967354
M,7.5YR55,7.5YR,5,5,156,113,73,#9C7149
M,7.5YR56,7.5YR,5,6,161,111,63,#A16F3F
M,7.5YR57,7.5YR,5,7,165,109,51,#A56D33
M,7.5YR58,7.5YR,5,8,169,108,39,#A96C27
M,7.5YR60,7.5YR,6,0,147,147,147,#939393
M,7.5YR61,7.5YR,6,1,156,146,137,#9C9289
M,7.5YR62,7.5YR,6,2,164,144,128,#A49080
M,7.5YR63,7.5YR,6,3,170,142,118,#AA8E76
M,7.5YR64,7.5YR,6,4,177,141,109,#B18D6D
M,7.5YR65,7.5YR,6,5,182,139,98,#B68B62
M,7.5YR66,7.5YR,6,6,188,137,88,#BC8958
M,7.5YR67,7.5YR,6,7,193,136,77,#C1884D
M,7.5YR68,7.5YR,6,8,197,134,65,#C58641
M,7.5YR70,7.5YR,7,0,173,173,173,#ADADAD
M,7.5YR71,7.5YR,7,1,182,172,163,#B6ACA3
M,7.5YR72,7.5YR,7,2,190,170,153,#BEAA99
M,7.5YR73,7.5YR,7,3,197,168,143,#C5A88F
M,7.5YR74,7.5YR,7,4,203,167,133,#CBA785
M,7.5YR75,7.5YR,7,5,210,165,123,#D2A57B
M,7.5YR76,7.5YR,7,6,215,164,112,#D7A470
M,7.5YR77,7.5YR,7,7,220,162,101,#DCA265
M,7.5YR78,7.5YR,7,8,225,161,90,#E1A15A
M,7.5YR80,7.5YR,8,0,200,200,200,#C8C8C8
M,7.5YR81,7.5YR,8,1,208,198,189,#D0C6BD
M,7.5YR82,7.5YR,8,2,216,197,179,#D8C5B3
M,7.5YR83,7.5YR,8,3,223,195,168,#DFC3A8
M,7.5YR84,7.5YR,8,4,230,194,158,#E6C29E
M,7.5YR85,7.5YR,8,5,236,192,147,#ECC093
M,7.5YR86,7.5YR,8,6,243,190,137,#F3BE89
M,7.5YR88,7.5YR,8,8,254,187,113,#FEBB71
M,N2.5/0,N,2.5,0,60,60,60,#3C3C3C
M,N20,N,2,0,49,49,49,#313131
M,N30,N,3,0,72,72,72,#484848
M,N40,N,4,0,96,96,96,#606060
M,N50,N,5,0,121,121,121,#797979
M,N60,N,6,0,147,147,147,#939393
M,N70,N,7,0,173,173,173,#ADADAD
M,N80,N,8,0,200,200,200,#C8C8C8
J,10BG41,10BG,4,1,87,98,99,#576263
J,10BG51,10BG,5,1,112,124,125,#707C7D
J,10BG61,10BG,6,1,137,150,150,#899696
J,10BG71,10BG,7,1,163,176,176,#A3B0B0
J,10G41,10G,4,1,87,99,95,#57635F
J,10G51,10G,5,1,112,124,120,#707C78
J,10G61,10G,6,1,137,150,146,#899692
J,10G71,10G,7,1,162,177,172,#A2B1AC
J,10GY31,10GY,3,1,67,73,67,#434943
J,10GY41,10GY,4,1,91,98,90,#5B625A
J,10GY51,10GY,5,1,116,124,115,#747C73
J,10GY61,10GY,6,1,140,150,140,#8C968C
J,10GY71,10GY,7,1,166,176,165,#A6B0A5
J,10GY81,10GY,8,1,192,203,191,#C0CBBF
J,10R21,10R,2,1,58,46,45,#3A2E2D
J,10R22,10R,2,2,65,43,41,#412B29
J,10R23,10R,2,3,71,41,37,#472925
J,10R31,10R,3,1,82,69,66,#524542
J,10R32,10R,3,2,90,66,61,#5A423D
J,10R33,10R,3,3,97,63,56,#613F38
J,10R34,10R,3,4,104,60,51,#683C33
J,10R35,10R,3,5,110,56,46,#6E382E
J,10R36,10R,3,6,115,53,41,#733529
J,10R41,10R,4,1,106,93,91,#6A5D5B
J,10R42,10R,4,2,115,91,85,#735B55
J,10R43,10R,4,3,123,88,79,#7B584F
J,10R44,10R,4,4,130,85,74,#82554A
J,10R46,10R,4,6,142,79,62,#8E4F3E
J,10R48,10R,4,8,154,72,50,#9A4832
J,10R51,10R,5,1,131,119,116,#837774
J,10R52,10R,5,2,139,117,111,#8B756F
J,10R53,10R,5,3,147,114,105,#937269
J,10R54,10R,5,4,155,111,98,#9B6F62
J,10R56,10R,5,6,170,105,86,#AA6956
J,10R58,10R,5,8,182,98,72,#B66248
J,10R62,10R,6,2,165,142,136,#A58E88
J,10R66,10R,6,6,196,132,111,#C4846F
J,10Y21,10Y,2,1,50,49,41,#323129
J,10Y31,10Y,3,1,73,72,62,#49483E
J,10Y32,10Y,3,2,74,73,52,#4A4934
J,10Y41,10Y,4,1,97,97,85,#616155
J,10Y42,10Y,4,2,98,97,73,#626149
J,10Y51,10Y,5,1,123,122,110,#7B7A6E
J,10Y52,10Y,5,2,124,123,98,#7C7B62
J,10Y61,10Y,6,1,149,148,134,#959486
J,10Y62,10Y,6,2,150,149,121,#969579
J,10Y71,10Y,7,1,175,174,159,#AFAE9F
J,10Y72,10Y,7,2,177,175,146,#B1AF92
J,10Y81,10Y,8,1,202,201,184,#CAC9B8
